id,scientific_name,common_name,iconic_taxon_name
555,Atalopedes huron,Huron Skipper,Insecta
556,Atarba,,Insecta
557,Athene cunicularia,Burrowing Owl,Aves
558,Atherigona reversura,Bermudagrass Stem Maggot,Insecta
559,Atherinops affinis,Topsmelt Silverside,Actinopterygii
560,Atherinopsinae,,Actinopterygii
561,Atherinopsis californiensis,Jack Silverside,Actinopterygii
562,Atlanticus gibbosus,Robust Shieldback,Insecta
563,Atomosia puella,Common Micropanther,Insecta
564,Atomosia sayii,Yellow-legged Micropanther,Insecta
565,Atrichiana jenisi,,Insecta
566,Atrichiana placida,Velvety East Coast Fruit Chafer,Insecta
567,Atrophaneura astorion zaleucus,Burmese Batwing,Insecta
568,Atrytonopsis quinteri,Crystal Skipper,Insecta
569,Atteva aurea,Ailanthus Webworm Moth,Insecta
570,Attina,Fungus-growing Ants,Insecta
571,Attulus fasciger,Asiatic Wall Jumping Spider,Arachnida
572,Auchenorrhyncha,True Hoppers,Insecta
573,Augochlorella aurata,Golden Sweat Bee,Insecta
574,Aulacophora indica,,Insecta
575,Auplopus,,Insecta
576,Auplopus carbonarius,,Insecta
577,Auplopus mellipes,,Insecta
578,Auricularia,Wood ear fungi,Fungi
579,Austrelaps superbus,Lowlands Copperhead,Reptilia
580,Austrosciapus proximus,,Insecta
581,Autographa gamma,Silver Y,Insecta
582,Aves,Birds,Aves
583,Aviceda cuculoides,African Cuckoo-Hawk,Aves
584,Aviceda leuphotes,Black Baza,Aves
585,Avipoxvirus,Avian pox viruses,
586,Aythya affinis,Lesser Scaup,Aves
587,Azanicada zuluensis,Dune Koko Orangewing Cicada,Insecta
588,Azanus jesous,African Babul Blue,Insecta
589,Azanus ubaldus,Bright Babul Blue,Insecta
590,Azteca,Cecropia Ants and Allies,Insecta
591,Baccharis pilularis,coyote brush,Plantae
592,Baccharis racemosa,,Plantae
593,Bacopa monnieri,Herb-of-Grace,Plantae
594,Bactrocera dorsalis,Oriental Fruit Fly,Insecta
595,Badumna,House Spiders,Arachnida
596,Badumna insignis,Black House Spider,Arachnida
597,Badumna longinqua,Grey House Spider,Arachnida
598,Baeoalitriozus diospyri,Persimmon Psyllid,Insecta
599,Baeolophus bicolor,Tufted Titmouse,Aves
600,Baikiaea plurijuga,African teak,Plantae
601,Baileya,Desert Marigolds,Plantae
602,Balaeniceps rex,Shoebill,Aves
603,Balaenoptera acutorostrata,Common Minke Whale,Mammalia
604,Balaenoptera borealis,Sei Whale,Mammalia
605,Balaenoptera edeni,Eden's Whale,Mammalia
606,Ballota nigra meridionalis,,Plantae
607,Bambusa vulgaris,golden bamboo,Plantae
608,Baorini,Swifts and Allies,Insecta
609,Barbarea vulgaris,bitter wintercress,Plantae
610,Barbatula pechiliensis,,Actinopterygii
611,Baridinae,Flower Weevils,Insecta
612,Barleria delagoensis,,Plantae
613,Barleria elegans orientalis,,Plantae
614,Barringtonia racemosa,Brackishwater Mangrove,Plantae
615,Baryphas ahenus,Baryphas Jumping Spider,Arachnida
616,Basilodes pepita,Gold Moth,Insecta
617,Basiothia medea,Small Verdant Hawkmoth,Insecta
618,Basipta stolida,Green Tortoise Beetle,Insecta
619,Bassia scoparia,summer-cypress,Plantae
620,Batis capensis capensis,Forest Cape Batis,Aves
621,Batrachoseps attenuatus,California Slender Salamander,Amphibia
622,Batyle suturalis,Sutured Longhorn Beetle,Insecta
623,Bauhinia tomentosa,Yellow bauhinia,Plantae
624,Bdellidae,Snout Mites,Arachnida
625,Begonia cucullata,Wax begonia,Plantae
626,Belenois,,Insecta
627,Belenois aurota aurota,Brown-veined White,Insecta
628,Belenois creona severina,African Common White,Insecta
629,Belippa,,Insecta
630,Belonogaster,Needle-waisted Paper Wasps,Insecta
631,Belostomatidae,Giant Water Bugs,Insecta
632,Bembicini,Sand Wasps,Insecta
633,Bembix oculata,,Insecta
634,Bengalia,Fly Pirates,Insecta
635,Berardius bairdii,Baird's Beaked Whale,Mammalia
636,Berberis microphylla,Calafate,Plantae
637,Berberis thunbergii,Japanese barberry,Plantae
638,Berenicornis comatus,White-crowned Hornbill,Aves
639,Berkheya,African Thistles,Plantae
640,Berkheya bipinnatifida,,Plantae
641,Berkheya radula,Rasp African Thistle,Plantae
642,Berkheya umbellata,Umbel African Thistle,Plantae
643,Bethylidae,Flat wasps,Insecta
644,Betula papyrifera,paper birch,Plantae
645,Biancaea decapetala,Mysore Thorn,Plantae
646,Bidens,Beggarticks,Plantae
647,Bidens alba,White beggarticks,Plantae
648,Bidens pilosa,Hairy Beggarticks,Plantae
649,Biluna,,Insecta
650,Biorhiza pallida,Oak Apple Gall Wasp,Insecta
651,Bitis arietans,Puff Adder,Reptilia
652,Bittacus,,Insecta
653,Bivalvia,Bivalves,Mollusca
654,Blaberidae,Giant Cockroaches,Insecta
655,Blaberoidea,Giant and Wood Cockroaches,Insecta
656,Blastobasis tarda,,Insecta
657,Blattidae,Household Cockroaches,Insecta
658,Blattinae,,Insecta
659,Blattodea,Cockroaches and Termites,Insecta
660,Blenina senex,,Insecta
661,Blepharis ciliaris,eyelash plant,Plantae
662,Blepharis sericea,Silky Lashes,Plantae
663,Blepharomastix ranalis,Hollow-spotted Blepharomastix Moth,Insecta
664,Blepharucha zaide,,Insecta
665,Boa constrictor,Boa Constrictor,Reptilia
666,Boaedon capensis,Cape House Snake,Reptilia
667,Boarmiini,,Insecta
668,Bobgunnia madagascariensis,Ironheart,Plantae
669,Bocchoris inspersalis,Dotted Sable,Insecta
670,Boerias,,Insecta
671,Boiga irregularis,Brown Tree Snake,Reptilia
672,Boisea trivittata,Eastern Boxelder Bug,Insecta
673,Bombomyia discoidea,White-tailed Bee Fly,Insecta
674,Bombus,Bumble Bees,Insecta
675,Bombus appositus,White-shouldered Bumble Bee,Insecta
676,Bombus argillaceus,Clay Bumble Bee,Insecta
677,Bombus bifarius,Colorado Black-notched Bumble Bee,Insecta
678,Bombus bimaculatus,Two-spotted Bumble Bee,Insecta
679,Bombus borealis,Northern Amber Bumble Bee,Insecta
680,Bombus californicus,California Bumble Bee,Insecta
681,Bombus centralis,Great Basin Bumble Bee,Insecta
682,Bombus citrinus,Lemon Cuckoo Bumble Bee,Insecta
683,Bombus eximius,Orange-legged Bumble Bee,Insecta
684,Bombus fervidus,Golden Northern Bumble Bee,Insecta
685,Bombus flavifrons,Yellow-fronted Bumble Bee,Insecta
686,Bombus griseocollis,Brown-belted Bumble Bee,Insecta
687,Bombus hortorum,Garden Bumble Bee,Insecta
688,Bombus huntii,Hunt's Bumble Bee,Insecta
689,Bombus hypnorum,Tree Bumble Bee,Insecta
690,Bombus impatiens,Common Eastern Bumble Bee,Insecta
691,Bombus insularis,Indiscriminate Cuckoo Bumble Bee,Insecta
692,Bombus kirbiellus,Golden-belted Bumble Bee,Insecta
693,Bombus lapidarius,Red-tailed Bumble Bee,Insecta
694,Bombus lucorum,Lucorum-group Bumble Bees,Insecta
695,Bombus melanopygus,Black-tailed Bumble Bee,Insecta
696,Bombus mixtus,Fuzzy-Horned Bumble Bee,Insecta
697,Bombus monticola,Mountain Bumble Bee,Insecta
698,Bombus mucidus,,Insecta
699,Bombus nevadensis,Nevada Bumble Bee,Insecta
700,Bombus occidentalis,Western Bumble Bee,Insecta
701,Bombus pascuorum,Common Carder Bumble Bee,Insecta
702,Bombus pratorum,Early Bumble Bee,Insecta
703,Bombus rufocinctus,Red-belted Bumble Bee,Insecta
704,Bombus sonorus,Sonoran Bumble Bee,Insecta
705,Bombus sylvicola,Forest Bumble Bee,Insecta
706,Bombus ternarius,Tricolored Bumble Bee,Insecta
707,Bombus terrestris,Buff-tailed Bumble Bee,Insecta
708,Bombus terricola,Yellow-banded Bumble Bee,Insecta
709,Bombus vancouverensis,Vancouver Bumble Bee,Insecta
710,Bombus vancouverensis nearcticus,Nearctic Bumble Bee,Insecta
711,Bombus vandykei,Van Dyke's Bumble Bee,Insecta
712,Bombus vosnesenskii,Yellow-faced Bumble Bee,Insecta
713,Bombycilla cedrorum,Cedar Waxwing,Aves
714,Bombycilla garrulus,Bohemian Waxwing,Aves
715,Bombylella,,Insecta
716,Bombyliidae,Bee Flies,Insecta
717,Bombylius,Greater Bee Flies,Insecta
718,Boreogadus saida,Arctic Cod,Actinopterygii
719,Bostra,,Insecta
720,Bostra carnicolor,,Insecta
721,Botaurus lentiginosus,American Bittern,Aves
722,Botaurus sinensis,Yellow Bittern,Aves
723,Botaurus stellaris,Eurasian Bittern,Aves
724,Bothrogonia addita,Orange Sharpshooter,Insecta
725,Botryosphaeriaceae,,Fungi
726,Bowie,,Arachnida
727,Boyeria irene,Western Spectre,Insecta
728,Bracharoa mixta,Mixed Vapourer,Insecta
729,Brachycera,Brachyceran Flies,Insecta
730,Brachycerus,Lily Weevils,Insecta
731,Brachycerus labrusca,Foxy Lily Weevil,Insecta
732,Brachylaena discolor,Coast Silver-oak,Plantae
733,Brachylaena uniflora,Natal Silver Oak,Plantae
734,Brachyleptura rubrica,Red-winged Longhorn Beetle,Insecta
735,Brachymeria kassalensis,,Insecta
736,Brachymyrmex obscurior,Seaside Rover Ant,Insecta
737,Brachystegia allenii,,Plantae
738,Brachystegia boehmii,Prince-Of-Wales Feathers,Plantae
739,Brachystegia glaucescens,,Plantae
740,Brachystegia spiciformis,msasa,Plantae
741,Brachythemis contaminata,Ditch Jewel,Insecta
742,Brachytrupes,Giant Burrowing Crickets,Insecta
743,Brachyura,True Crabs,Animalia
744,Braconidae,Braconid Wasps,Insecta
745,Bradypodion damaranum,Knysna Dwarf Chameleon,Reptilia
746,Branta bernicla nigricans,Black Brant,Aves
747,Branta canadensis,Canada Goose,Aves
748,Branta hutchinsii,Cackling Goose,Aves
749,Branta leucopsis,Barnacle Goose,Aves
750,Brasiliomyces malachrae,,Fungi
751,Brassica,cabbages and mustards,Plantae
752,Brassica napus,rapeseed,Plantae
753,Brassicaceae,mustard family,Plantae
754,Breda,,Arachnida
755,Brephidium exilis,Western Pygmy-Blue,Insecta
756,Brevoortia tyrannus,Atlantic Menhaden,Actinopterygii
757,Bridelia micrantha,Coastal Goldenleaf,Plantae
758,Brithys crini,Lily Borer,Insecta
759,Bruchinae,Pea and Bean Weevils,Insecta
760,Brunneria borealis,Northern Grass Mantis,Insecta
761,Bryopsida,joint-toothed mosses,Plantae
762,Bubo bubo,Eurasian Eagle-Owl,Aves
763,Bubo virginianus,Great Horned Owl,Aves
764,Bucculatrix improvisa,,Insecta
765,Bucephala albeola,Bufflehead,Aves
766,Bucephala clangula,Common Goldeneye,Aves
767,Bucorvus leadbeateri,Southern Ground Hornbill,Aves
768,Bufo bufo,European Toad,Amphibia
769,Bufo gargarizans,Asiatic Toad,Amphibia
770,Bulbostylis,,Plantae
771,Bunaea alcinoe,Cabbage Tree Emperor,Insecta
772,Bungarus multicinctus,Many-banded Krait,Reptilia
773,Buphagus africanus,Yellow-billed Oxpecker,Aves
774,Buphagus erythroryncha,Red-billed Oxpecker,Aves
775,Burkea africana,wild syringa,Plantae
776,Burnsius communis,Common Checkered-Skipper,Insecta
777,Burnsius orcus,Orcus Checkered-Skipper,Insecta
778,Busycon carica,Knobbed Whelk,Mollusca
779,Buteo brachyurus,Short-tailed Hawk,Aves
780,Buteo buteo,Common Buzzard,Aves
781,Buteo buteo buteo,Western Common Buzzard,Aves
782,Buteo buteo vulpinus,Steppe Buzzard,Aves
783,Buteo jamaicensis,Red-tailed Hawk,Aves
784,Buteo jamaicensis borealis,Eastern Red-tailed Hawk,Aves
785,Buteo lineatus,Red-shouldered Hawk,Aves
786,Buteo lineatus extimus,Florida Red-shouldered Hawk,Aves
787,Buteo platypterus,Broad-winged Hawk,Aves
788,Buteo swainsoni,Swainson's Hawk,Aves
789,Butorides atricapilla,Little Heron,Aves
790,Butorides atricapilla atricapilla,Sub-Saharan Little Heron,Aves
791,Butorides virescens,Green Heron,Aves
792,Byblia anvatara,African Joker,Insecta
793,Byblia ilithyia,Spotted Joker,Insecta
794,Bycanistes bucinator,Trumpeter Hornbill,Aves
795,Cabera,,Insecta
796,Cacyreus marshalli,Common Geranium-bronze,Insecta
797,Caelifera,"Grasshoppers, Locusts, and Allies",Insecta
798,Caenis,Common Square-gills,Insecta
799,Caenocoris nerii,Oleander seedbug,Insecta
800,Caerostris sexcuspidata,Common Bark Spider,Arachnida
801,Caiman crocodilus,Spectacled Caiman,Reptilia
802,Cakile maritima,European Searocket,Plantae
803,Calaphis,Dark-veined Birch Aphids,Insecta
804,Calendula arvensis,field marigold,Plantae
805,Calidris alba,Sanderling,Aves
806,Calidris minutilla,Least Sandpiper,Aves
807,Callianassidae,Ghost Shrimps,Animalia
808,Callicarpa americana,American beautyberry,Plantae
809,Callimus cyanipennis,,Insecta
810,Callinectes,Blue Crabs,Animalia
811,Callinectes sapidus,Atlantic Blue Crab,Animalia
812,Calliophis bivirgatus tetrataenius,,Reptilia
813,Calliphora,Bluebottle Flies,Insecta
814,Calliphoridae,Blow Flies,Insecta
815,Calliphorinae,,Insecta
816,Callirhytis lanata,,Insecta
817,Callistethus lubricus,,Insecta
818,Callophrys gryneus,Juniper Hairstreak,Insecta
819,Callosamia promethea,Promethea Silkmoth,Insecta
820,Callosciurus caniceps,Northern Gray-bellied Squirrel,Mammalia
821,Callosciurus erythraeus,Pallas' Squirrel,Mammalia
822,Callosciurus finlaysonii,Finlayson's Squirrel,Mammalia
823,Callosciurus notatus,Plantain Squirrel,Mammalia
824,Callosciurus orestes,Borneo Black-banded Squirrel,Mammalia
825,Calochortus excavatus,Inyo star-tulip,Plantae
826,Calochortus kennedyi kennedyi,snakeleaf mariposa,Plantae
827,Calodiplosis parinarii,Mobola Stem Gall Midge,Insecta
828,Calopteryx maculata,Ebony Jewelwing,Insecta
829,Calopteryx splendens,Banded Demoiselle,Insecta
830,Calopteryx virgo,Beautiful Demoiselle,Insecta
831,Caloptilia octopunctata,,Insecta
832,Caloramphus hayii hayii,,Aves
833,Calosoma scrutator,Fiery Searcher,Insecta
834,Calosoma sycophanta,Agreeable Caterpillar Hunter,Insecta
835,Calotes,Oriental Forest Lizards,Reptilia
836,Calotes emma,forest garden lizard,Reptilia
837,Calotes versicolor,Oriental Garden Lizard,Reptilia
838,Calotheca,Searsia Flea Beetles,Insecta
839,Calotropis procera,giant milkweed,Plantae
840,Calycomyza,,Insecta
841,Calycopis cecrops,Red-banded Hairstreak,Insecta
842,Calypte anna,Anna's Hummingbird,Aves
843,Calyptocarpus vialis,straggler daisy,Plantae
844,Calyptostoma,,Arachnida
845,Calyptratae,Calyptrate Flies,Insecta
846,Calyptridium,pussypaws,Plantae
847,Camaricus,,Arachnida
848,Camassia,camas,Plantae
849,Campanula poscharskyana,Trailing bellflower,Plantae
850,Camponotus,"Carpenter Ants, Typical Sugar Ants and Allies",Insecta
851,Camponotus atriceps,Tropical Carpenter Ant,Insecta
852,Camponotus chrysurus,,Insecta
853,Camponotus cinctellus,Shiny sugar ant,Insecta
854,Camponotus cruentatus,Blood-spotted Sugar Ant,Insecta
855,Camponotus decipiens,Deceptive Carpenter Ant,Insecta
856,Camponotus etiolipes,Long-legged Sugar Ant,Insecta
857,Camponotus lateralis,,Insecta
858,Camponotus maculatus,Spotted Sugar Ant,Insecta
859,Camponotus nicobarensis,Nicobar Carpenter Ant,Insecta
860,Camponotus ocreatus,,Insecta
861,Camponotus pennsylvanicus,Eastern Black Carpenter Ant,Insecta
862,Camponotus rubrithorax,,Insecta
863,Camponotus vagus,Hairy Carpenter Ant,Insecta
864,Campostoma oligolepis,Largescale Stoneroller,Actinopterygii
865,Campsomeriella caelebs,,Insecta
866,Campsomerini,,Insecta
867,Camptogramma bilineata,Yellow Shell Moth,Insecta
868,Camptonotus carolinensis,Carolina Leafroller Cricket,Insecta
869,Camptotypus,,Insecta
870,Canavalia bonariensis,,Plantae
871,Cancer irroratus,Atlantic Rock Crab,Animalia
872,Cancer productus,Red Rock Crab,Animalia
873,Canis familiaris,Domestic Dog,Mammalia
874,Canis latrans,Coyote,Mammalia
875,Canis lupus,Gray Wolf,Mammalia
876,Cantharidae,Soldier Beetles,Insecta
877,Cantharis livida,,Insecta
878,Capra pyrenaica,Iberian Ibex,Mammalia
879,Capsella bursa-pastoris,shepherd's-purse,Plantae
880,Carabidae,Ground Beetles,Insecta
881,Carabus coriaceus,,Insecta
882,Carabus prodigus,,Insecta
883,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia
884,Caracara plancus,Crested Caracara,Aves
885,Carassius auratus,Goldfish,Actinopterygii
886,Carcharodini,,Insecta
887,Carcharodon carcharias,Great White Shark,Animalia
888,Carcinoscorpius rotundicauda,Mangrove Horseshoe Crab,Animalia
889,Carcinus maenas,European Green Crab,Animalia
890,Cardamine pratensis,Cuckooflower,Plantae
891,Cardinalis cardinalis,Northern Cardinal,Aves
892,Cardiophorinae,,Insecta
893,Cardiospermum grandiflorum,Showy Balloon Vine,Plantae
894,Carduelis carduelis,European Goldfinch,Aves
895,Carduoideae,Thistles and Allies,Plantae
896,Carduus nutans,musk thistle,Plantae
897,Carex,true sedges,Plantae
898,Cariblatta minima,Least Yellow Cockroach,Insecta
899,Caridea,Caridean Shrimps,Animalia
900,Carinostigmus,,Insecta
901,Carlisis wahlbergi,Gardenia Twig WIlter,Insecta
902,Carnivora,Carnivorans,Mammalia
903,Carphophis amoenus,Common Wormsnake,Reptilia
904,Carpinus betulus,European Hornbeam,Plantae
905,Carpobrotus,sea figs,Plantae
906,Carpophilinae,,Insecta
907,Carrhotus,,Arachnida
908,Carrhotus viduus,,Arachnida
909,Carterocephalus skada,Western Arctic Skipper,Insecta
910,Cascabela thevetia,Be-still tree,Plantae
911,Cassida deflorata,,Insecta
912,Cassida granulicollis,,Insecta
913,Cassida rubiginosa,Thistle Tortoise Beetle,Insecta
914,Castalius rosimon,Common Pierrot,Insecta
915,Castilleja occidentalis,western paintbrush,Plantae
916,Castor canadensis,American Beaver,Mammalia
917,Catacroptera cloanthe,Pirate,Insecta
918,Cataglyphis bicolor,Bicolor-group Sahara Ants,Insecta
919,Cataglyphis velox,,Insecta
920,Catalebeda cuneilinea,Toothed Cream Spot,Insecta
921,Catantopinae,Spur-throated Grasshoppers,Insecta
922,Catharanthus roseus,Madagascar Periwinkle,Plantae
923,Catharsius,,Insecta
924,Catharsius pandion,,Insecta
925,Cathartes aura,Turkey Vulture,Aves
926,Catharus guttatus,Hermit Thrush,Aves
927,Catocala vidua,Widow Underwing,Insecta
928,Catopsilia florella,African Migrant,Insecta
929,Catopsilia pomona,Lemon Migrant,Insecta
930,Catopsilia pomona catilla,,Insecta
931,Cauchas rufimitrella,Meadow Longhorn,Insecta
932,Causus rhombeatus,Rhombic Night Adder,Reptilia
933,Ceanothus americanus,New Jersey tea,Plantae
934,Cebidichthys violaceus,Monkey-faced Prickleback,Actinopterygii
935,Cebus imitator,Central American White-faced Capuchin,Mammalia
936,Cecidomyiidae,Gall and Forest Midges,Insecta
937,Cecidomyiinae,Gall Midges,Insecta
938,Cecidothyris pexa,,Insecta
939,Cecropterus dorantes dorantes,,Insecta
940,Cedusa,,Insecta
941,Celastrina argiolus,Holly Blue,Insecta
942,Celastrina echo,Echo Azure,Insecta
943,Celastrus orbiculatus,Oriental bittersweet,Plantae
944,Celithemis eponina,Halloween Pennant,Insecta
945,Celithemis fasciata,Banded Pennant,Insecta
946,Celtis africana,White Stinkwood,Plantae
947,Celtis laevigata,sugar hackberry,Plantae
948,Celtis occidentalis,common hackberry,Plantae
949,Cenaeus pectoralis,,Insecta
950,Cenchrus,sandburs and fountain grasses,Plantae
951,Centaurea,knapweeds,Plantae
952,Centaurea jacea,Brown Knapweed,Plantae
953,Centaurea nigra,black knapweed,Plantae
954,Centaurea solstitialis,Yellow Star-Thistle,Plantae
955,Centaurea stoebe,spotted knapweed,Plantae
956,Centrobolus richardi,Richards Bay Red Millipede,Animalia
957,Centropus burchellii burchellii,Burchell's Coucal,Aves
958,Centropus sinensis intermedius,Greater Coucal (Indomalayan),Aves
959,Centruroides gracilis,Slender Brown Scorpion,Arachnida
960,Cephalanthus occidentalis,buttonbush,Plantae
961,Cephalaria leucantha,,Plantae
962,Cephalophorus natalensis natalensis,Natal Duiker,Mammalia
963,Cephalopyrus flammiceps,Fire-capped Tit,Aves
964,Cephonodes hylas,Pellucid Hawkmoth,Insecta
965,Cepphus columba,Pigeon Guillemot,Aves
966,Cepphus grylle,Black Guillemot,Aves
967,Cerambycidae,Longhorn Beetles,Insecta
968,Cerambycinae,Round-necked Longhorn Beetles,Insecta
969,Ceramica pisi,Broom Moth,Insecta
970,Cerataphis brasiliensis,palm aphid,Insecta
971,Ceratina,Small Carpenter Bees,Insecta
972,Ceratinidia,Striped Small Carpenter Bees,Insecta
973,Ceratodalia gueneata,Guenée's Carpet Moth,Insecta
974,Ceratomia catalpae,Catalpa Sphinx,Insecta
975,Ceratophora stoddartii,Rhino Horn Lizard,Reptilia
976,Ceratopogonidae,Biting Midges,Insecta
977,Ceratosolen capensis,,Insecta
978,Cerberus schneiderii,Southeast Asian Bockadam,Reptilia
979,Cerceris,Typical Weevil Wasps and Allies,Insecta
980,Cercis,redbuds,Plantae
981,Cercopithecus mitis erythrarchus,White-throated Samango,Mammalia
982,Cercopoidea,Spittlebugs and Froghoppers,Insecta
983,Cercospora pittospori,,Fungi
984,Ceresini,Buffalo Treehoppers and allies,Insecta
985,Ceriagrion coromandelianum,Coromandel Marsh Dart,Insecta
986,Ceriagrion fallax,Black-tailed Marsh Dart,Insecta
987,Ceriagrion glabrum,Common Citril,Insecta
988,Ceriagrion melanurum,,Insecta
989,Cerianthidae,,Animalia
990,Cerioporus squamosus,Dryad's Saddle,Fungi
991,Ceroctis,,Insecta
992,Ceroctis ruficrus,,Insecta
993,Ceroctis trifurca,,Insecta
994,Ceroplastes,Wax Scales,Insecta
995,Ceroplastinae,,Insecta
996,Cerorhinca monocerata,Rhinoceros Auklet,Aves
997,Cerotainia macrocera,Yellow-faced Micropanther,Insecta
998,Certhia familiaris,Eurasian Treecreeper,Aves
999,Cerurina marshalli,,Insecta
1000,Cervus canadensis,Wapiti,Mammalia
