videoID,video_channel,nodeTime
OdKLuCjBOf8,Anadolu Agency,2018-09-09 14:01:45
x960tQNCGsQ,AlHadath الحدث,2018-09-09 14:37:35
Omn6PuX--jM,euronews (عــربي),2018-09-09 15:24:16
oZvWMG_IgPw,AFP news agency,2018-09-11 03:36:47
0KVt9nh015o,RT Arabic,2018-09-11 23:15:00
RkJ6N97cRLs,RT Documentary,2018-09-12 16:23:44
N7kr5ddCuuY,RT America,2018-09-12 23:17:28
CV9eHuJz-WQ,RT America,2018-09-13 00:56:24
UlONZ01SV5w,Vesti News,2018-09-13 21:00:02
JD8_1k4FMes,Jason Unruhe,2018-09-15 16:00:04
2FUpbZXaN9w,The Grayzone,2018-09-16 01:13:46
aprbGp3Ov_E,الدفاع المدني السوري في محافظة ادلب,2018-09-16 15:28:16
mrtY8XKp2Ng,RT,2018-09-16 15:30:00
ycd5DMowsYg,eRic Diffusion,2018-09-16 18:58:22
dUtNmcVBSs0,SAA Soldier,2018-09-16 19:22:13
ZSNP4NEbDWc,Урфин Джюс,2018-09-17 15:04:21
pDA7zNiIMzE,vanessa beeley,2018-09-17 15:41:28
apC2GbSUKYw,Eva K Bartlett,2018-09-17 18:20:05
XAIH4i_X3lM,Israeli News Live,2018-09-17 20:21:23
lM00orelT5I,Vesti News,2018-09-18 06:38:11
NUjQuKgR9pE,الدفاع المدني السوري في محافظة ادلب,2018-09-18 13:01:17
a7OQzsYHICM,الدفاع المدني السوري في محافظة ادلب,2018-09-18 13:30:20
AOjHtNfd7rU,vanessa beeley,2018-09-18 17:36:40
_YrFULMj5qQ,The Last American Vagabond,2018-09-19 23:09:40
5bIJTGJLfkA,Schiller Institute,2018-09-20 16:16:05
eb2bOAe-nHE,وكالة يونيوز للاخبار,2018-09-21 16:13:34
2m_05y1gnlU,Mihaela Bruja,2018-09-22 19:44:42
Ekcm55YzdBg,Jason Unruhe,2018-09-23 09:49:20
pi-byWhJ1M4,الدفاع المدني السوري في محافظة ادلب,2018-09-23 16:11:45
-hYQshfq510,الدفاع المدني السوري في محافظة ادلب,2018-09-25 17:17:52
Lh3cIph9TQ8,الدفاع المدني السوري في محافظة ادلب,2018-09-26 16:10:09
MfGUUJqa1YQ,Al Mayadeen,2018-09-29 07:49:14
30t7zg1RuIs,قناة السورية - أخبار Syrian CH - News,2018-09-29 15:25:18
_x3fqwR13Ak,vanessa beeley,2018-10-02 11:45:55
z1aqnyZhSXY,Stein-Zeit,2018-10-05 08:04:19
zN75sHllSF4,قناة الرايات السود المشرقية - Live Stream,2018-10-06 16:31:35
ft9KE_T7IPc,الدفاع المدني السوري في محافظة ادلب,2018-10-07 06:53:50
4zh2qs-XPMw,Anna News,2018-10-11 19:15:00
TrTYOP2cDAg,RT UK,2018-10-12 07:49:26
s01g7_udqb4,RT,2018-10-12 13:19:03
7-SxPcJecKQ,goingundergroundRT,2018-10-13 10:51:30
2GYNmLYlzKs,Step News Agency,2018-10-14 09:41:04
2fvmKoep3TU,Step News Agency,2018-10-14 13:18:26
bp3bhzp_fm0,vanessa beeley,2018-10-15 10:02:36
Eq6_q8VtuDY,Step News Agency,2018-10-15 11:14:45
Ant7wKcOwao,تلفزيون أورينت Orient TV,2018-10-15 21:38:10
NdrU7z74WoY,الدفاع المدني السوري في محافظة ادلب,2018-10-16 05:32:40
UaVsXee_cqU,تلفزيون أورينت Orient TV,2018-10-16 17:10:35
0jkqASjyN6s,SY Plus,2018-10-18 14:58:53
nC2B-FCjp7w,مـديـنـة حـريـتـان,2018-10-18 16:39:20
dBgcNqtmix8,Al Jazeera Mubasher قناة الجزيرة مباشر,2018-10-19 13:19:12
PJty0RfRMko,تلفزيون أورينت Orient TV,2018-10-19 15:51:52
