nodeID,nodeUserID,nodeTime,actionType,videoID,platform
8525793|454890371632706,8525793,2018-04-22 06:07:16,post,lKiiKtEcx9Q,facebook
1626538|602057310135769,1626538,2018-04-22 06:07:28,post,lKiiKtEcx9Q,facebook
7811326|914277772082746,7811326,2018-04-22 06:16:24,post,lKiiKtEcx9Q,facebook
7655119|806666089519058,7655119,2018-04-22 06:55:56,post,lKiiKtEcx9Q,facebook
7857838|1804049216568338,7857838,2018-04-22 06:56:59,post,DCu8mNC1JyE,facebook
2508778|1860456810914504,2508778,2018-04-22 06:58:27,post,DCu8mNC1JyE,facebook
7845238|10155443908450737,7845238,2018-04-22 06:59:15,post,DCu8mNC1JyE,facebook
7652254|1652819044753182,7652254,2018-04-22 07:02:25,post,DCu8mNC1JyE,facebook
2748829|1892737547683967,2748829,2018-04-22 07:13:03,post,DCu8mNC1JyE,facebook
8488188|1837325299635579,8488188,2018-04-22 07:13:54,post,OBkn78q_t_Q,facebook
8488188|1837325299635579,8488188,2018-04-22 07:13:54,post,8aAaReVn2I4,facebook
12504501|429492417521643,12504501,2018-04-22 07:24:36,post,DCu8mNC1JyE,facebook
8551099|2573284552897672,8551099,2018-04-22 07:29:56,post,DCu8mNC1JyE,facebook
10131837|2113763338664142,10131837,2018-04-22 07:30:35,post,DCu8mNC1JyE,facebook
8996371|185847012045798,8996371,2018-04-22 07:51:02,post,DCu8mNC1JyE,facebook
8509517|1676596809122048,8509517,2018-04-22 07:59:05,post,DCu8mNC1JyE,facebook
389|1443885422383221,389,2018-04-22 08:38:15,post,DCu8mNC1JyE,facebook
7707498|2132751226807477,7707498,2018-04-22 08:43:44,post,DCu8mNC1JyE,facebook
8701619|1995831600736090,8701619,2018-04-22 09:56:04,post,DCu8mNC1JyE,facebook
10171860|1810599895667472,10171860,2018-04-22 10:32:05,post,yaZRZo9FGQI,facebook
2508798|850026048524322,2508798,2018-04-22 11:22:27,post,DCu8mNC1JyE,facebook
8997695|165735254044366,8997695,2018-04-22 11:49:21,post,DCu8mNC1JyE,facebook
1966996|1832543360384954,1966996,2018-04-22 13:43:04,post,DCu8mNC1JyE,facebook
8521126|1051917888299249,8521126,2018-04-22 13:44:57,post,DCu8mNC1JyE,facebook
10154093|2029486977316532,10154093,2018-04-22 13:59:10,post,0ZzE6JLChEQ,facebook
295881|1558414580924607,295881,2018-04-22 14:09:06,post,DCu8mNC1JyE,facebook
7866666|10157282476999097,7866666,2018-04-22 14:33:38,post,DCu8mNC1JyE,facebook
8671285|2069826273237658,8671285,2018-04-22 15:10:24,post,DCu8mNC1JyE,facebook
8550318|1742081895880865,8550318,2018-04-22 15:35:22,post,DCu8mNC1JyE,facebook
5481389|10155705963784480,5481389,2018-04-22 15:54:12,post,3vNwe7yKbwo,facebook
10773778|370625463436175,10773778,2018-04-22 15:57:55,post,pEL4pZFE0Ig,facebook
7851396|2058983770782401,7851396,2018-04-22 16:03:12,post,lKiiKtEcx9Q,facebook
7259469|2057963781193080,7259469,2018-04-22 16:37:14,post,DCu8mNC1JyE,facebook
7852728|10156044661431223,7852728,2018-04-22 16:39:33,post,DCu8mNC1JyE,facebook
8552075|434346823674795,8552075,2018-04-22 17:35:21,post,DCu8mNC1JyE,facebook
7651529|1673380196043333,7651529,2018-04-22 17:42:01,post,DCu8mNC1JyE,facebook
6656780|1697416666979566,6656780,2018-04-22 17:55:43,post,pEL4pZFE0Ig,facebook
2748829|1892712664353122,2748829,2018-04-22 19:50:01,post,lKiiKtEcx9Q,facebook
16708944|1734181876675886,16708944,2018-04-22 19:57:00,post,DCu8mNC1JyE,facebook
8995673|1665349460208555,8995673,2018-04-22 20:10:14,post,DCu8mNC1JyE,facebook
8480872|1039833292821016,8480872,2018-04-22 20:12:04,post,DCu8mNC1JyE,facebook
11048088|1582938128470207,11048088,2018-04-22 20:35:49,post,DCu8mNC1JyE,facebook
5480333|1656860421017452,5480333,2018-04-22 20:50:24,post,DCu8mNC1JyE,facebook
7861908|2081396432139328,7861908,2018-04-22 21:11:55,post,DCu8mNC1JyE,facebook
7861908|2081396522139319,7861908,2018-04-22 21:12:17,post,DCu8mNC1JyE,facebook
2919261|2044905962428297,2919261,2018-04-22 21:12:59,post,DCu8mNC1JyE,facebook
665749|1616158798501101,665749,2018-04-22 21:50:29,post,npJbbAKyUTk,facebook
8776689|1958042837574490,8776689,2018-04-22 21:55:03,post,DCu8mNC1JyE,facebook
2508798|850257235167870,2508798,2018-04-22 22:21:55,post,DCu8mNC1JyE,facebook
8509511|599740150392668,8509511,2018-04-22 22:23:54,post,DCu8mNC1JyE,facebook
312767|756329974562350,312767,2018-04-22 23:16:31,post,DCu8mNC1JyE,facebook
2508798|850284608498466,2508798,2018-04-23 00:13:09,post,DCu8mNC1JyE,facebook
7650248|10155180460131459,7650248,2018-04-23 00:26:03,post,DCu8mNC1JyE,facebook
10797670|626320781037673,10797670,2018-04-23 00:35:24,post,DCu8mNC1JyE,facebook
7646502|1642003432579861,7646502,2018-04-23 00:42:38,post,yaZRZo9FGQI,facebook
7848825|173757226619294,7848825,2018-04-23 00:43:32,post,yaZRZo9FGQI,facebook
